Screen,Control Label,Control Type,Expected Behavior,Observed Behavior / Evidence,Result,Severity,Recommended Fix
Mission Control,⚙️ Advanced Mode,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,Start Today's Mission,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,Adjust Goal,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,View Explanation,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,✨ Start Today's Mission,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,Start,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,Ask AI,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,Earn Fasterเร่งสร้างรายได้,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,Grow Portfolioขยาย Portfolio,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,Seasonal Collectionคอลเลกชันตามฤดูกาล,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,Fill Portfolio Gapsเติมหมวดที่ยังขาด,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,Evergreen Incomeรายได้แนวไม่มีฤดูกาล,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,Expand Adobe Stockขยายพอร์ต Adobe Stock,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,Expand Shutterstockขยายพอร์ต Shutterstock,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,Expand Etsyขยายพอร์ต Etsy,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,Use Today's Recommendationใช้คำแนะนำวันนี้,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,AI Chooses Everythingให้ AI ตัดสินใจทุกอย่าง,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,Why?,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,Re-run Diagnosis,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,Add Goal,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,Send,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Mission Control,📖 คู่มือการใช้งาน,link,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Mission Control; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Today's Production,🏠 Mission Control,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Today's Production; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Today's Production,🏭 Today's Production,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Today's Production; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Today's Production,✨ ออกแบบให้ฉันวันนี้,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Today's Production; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Today's Production,+ โปรเจกต์ใหม่,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Today's Production; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Today's Production,📊 Overview,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Today's Production; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Today's Production,🎨 Pattern Studio,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Today's Production; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Today's Production,📂 Portfolio,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Today's Production; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Today's Production,💾 Backup,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Today's Production; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Today's Production,📈 AI Market Advisor,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Today's Production; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Today's Production,🎨 AI Design Director,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Today's Production; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Today's Production,⚙️ Advanced Mode,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Today's Production; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Today's Production,← Back,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Today's Production; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Today's Production,Home,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Today's Production; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Today's Production,Progress,button,"Reachable, produces the labelled action, gives visible feedback",Shows real Production Progress stepper; correctly reflects Running/Packaging/Completed states.,PASS,P3,—
Today's Production,Review ,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Today's Production; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Today's Production,Export ,button,"Reachable, produces the labelled action, gives visible feedback",Export Readiness Dashboard shows 0 Ready / 11 Blocked immediately after a completed Factory run — every freshly generated asset is blocked from commercial export. See BUG-001.,CONFUSING,P0,See FULL_UI_UX_AUDIT_REPORT.md remediation plan
Today's Production,Dashboard,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Today's Production; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Today's Production,▶ START FACTORY,button,"Reachable, produces the labelled action, gives visible feedback","Starts a real Factory session; verified online, offline, and mid-interrupt (Workflow A/B/E).",PASS,P3,—
Today's Production,📖 คู่มือการใช้งาน,link,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Today's Production; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Today's Production,Progress,button (disabled),Disabled state should be explained (title/aria-label) or the reason should be visible nearby,"No title/aria-label found on sampled disabled controls during accessibility pass — reason for disablement is usually only inferable from surrounding text, not from the control itself.",MISSING FEEDBACK,P3,Add title/aria-label explaining why the control is disabled.
Design for Me Today,🏠 Mission Control,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Design for Me Today; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Design for Me Today,🏭 Today's Production,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Design for Me Today; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Design for Me Today,✨ ออกแบบให้ฉันวันนี้,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Design for Me Today; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Design for Me Today,+ โปรเจกต์ใหม่,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Design for Me Today; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Design for Me Today,📊 Overview,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Design for Me Today; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Design for Me Today,🎨 Pattern Studio,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Design for Me Today; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Design for Me Today,📂 Portfolio,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Design for Me Today; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Design for Me Today,💾 Backup,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Design for Me Today; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Design for Me Today,📈 AI Market Advisor,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Design for Me Today; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Design for Me Today,🎨 AI Design Director,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Design for Me Today; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Design for Me Today,⚙️ Advanced Mode,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Design for Me Today; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Design for Me Today,📜 ประวัติ,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Design for Me Today; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Design for Me Today,← กลับ,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Design for Me Today; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Design for Me Today,สร้าง 5 ลาย,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Design for Me Today; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Design for Me Today,สร้าง 10 ลาย,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Design for Me Today; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Design for Me Today,สร้าง Collection 20 ลาย,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Design for Me Today; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Design for Me Today,ใช้คำแนะนำของนักการตลาดวันนี้,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Design for Me Today; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Design for Me Today,เติมหมวดที่ Portfolio ยังขาด,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Design for Me Today; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Design for Me Today,สร้างแผนการออกแบบ →,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Design for Me Today; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Design for Me Today,📖 คู่มือการใช้งาน,link,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Design for Me Today; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Overview / Project Dashboard,🏠 Mission Control,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Overview / Project Dashboard; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Overview / Project Dashboard,🏭 Today's Production,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Overview / Project Dashboard; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Overview / Project Dashboard,✨ ออกแบบให้ฉันวันนี้,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Overview / Project Dashboard; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Overview / Project Dashboard,+ โปรเจกต์ใหม่,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Overview / Project Dashboard; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Overview / Project Dashboard,📊 Overview,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Overview / Project Dashboard; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Overview / Project Dashboard,🎨 Pattern Studio,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Overview / Project Dashboard; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Overview / Project Dashboard,📂 Portfolio,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Overview / Project Dashboard; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Overview / Project Dashboard,💾 Backup,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Overview / Project Dashboard; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Overview / Project Dashboard,📈 AI Market Advisor,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Overview / Project Dashboard; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Overview / Project Dashboard,🎨 AI Design Director,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Overview / Project Dashboard; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Overview / Project Dashboard,⚙️ Advanced Mode,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Overview / Project Dashboard; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Overview / Project Dashboard,📥 นำเข้า Project JSON,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Overview / Project Dashboard; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Overview / Project Dashboard,← กลับหน้าสร้างลาย,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Overview / Project Dashboard; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Overview / Project Dashboard,☆,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Overview / Project Dashboard; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Overview / Project Dashboard,เปิด,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Overview / Project Dashboard; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Overview / Project Dashboard,ทำสำเนา,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Overview / Project Dashboard; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Overview / Project Dashboard,เปลี่ยนชื่อ,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Overview / Project Dashboard; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Overview / Project Dashboard,Export JSON,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Overview / Project Dashboard; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Overview / Project Dashboard,Archive,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Overview / Project Dashboard; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Overview / Project Dashboard,ลบ,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Overview / Project Dashboard; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Overview / Project Dashboard,📖 คู่มือการใช้งาน,link,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Overview / Project Dashboard; not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Pattern Studio (Design Workbench),🏠 Mission Control,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Pattern Studio (Design Workbench); not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Pattern Studio (Design Workbench),🏭 Today's Production,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Pattern Studio (Design Workbench); not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Pattern Studio (Design Workbench),✨ ออกแบบให้ฉันวันนี้,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Pattern Studio (Design Workbench); not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
Pattern Studio (Design Workbench),+ โปรเจกต์ใหม่,button,"Reachable, produces the labelled action, gives visible feedback",Enumerated live from the rendered DOM on Pattern Studio (Design Workbench); not individually clicked during this audit pass (time-boxed to the workflows and controls listed in FULL_UI_UX_AUDIT_REPORT.md).,NOT INDEPENDENTLY VERIFIED,—,—
